Date,Ticker,Sector,Close,Return
04-06-2020,TECHM,IT,582.1,7.092263821
04-06-2020,TITAN,CONSUMER GOODS,971.25,1.287934091
04-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3803.9,-0.309248631
04-06-2020,UPL,FERTILISERS & PESTICIDES,422.05,0.655854996
04-06-2020,VEDL,METALS,104.4,11.47891084
04-06-2020,WIPRO,IT,216.25,0.558009765
04-06-2020,ZEEL,MEDIA & ENTERTAINMENT,205.6,10.59709521
05-06-2020,ADANIPORTS,SERVICES,341.15,3.582814635
05-06-2020,ASIANPAINT,CONSUMER GOODS,1638.55,-3.230473941
05-06-2020,AXISBANK,FINANCIAL SERVICES,405.3,2.103539489
05-06-2020,BAJAJ-AUTO,AUTOMOBILE,2776.3,0.652575862
05-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5236.4,9.934497817
05-06-2020,BAJFINANCE,FINANCIAL SERVICES,2390.35,10.62082051
05-06-2020,BHARTIARTL,TELECOM,584.35,4.525534389
05-06-2020,BPCL,OIL & GAS,369.6,6.728270286
05-06-2020,BRITANNIA,CONSUMER GOODS,3466.7,0.927260288
05-06-2020,CIPLA,PHARMA,650.9,1.307392996
05-06-2020,COALINDIA,METALS,144.85,-2.490743857
05-06-2020,DRREDDY,PHARMA,4024.9,1.804707162
05-06-2020,EICHERMOT,AUTOMOBILE,17495.35,3.0001619
05-06-2020,GAIL,OIL & GAS,97.85,6.416530723
05-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,627.15,7.480719794
05-06-2020,HCLTECH,IT,575.95,2.894149174
05-06-2020,HDFC,FINANCIAL SERVICES,1766.6,1.663117914
05-06-2020,HDFCBANK,FINANCIAL SERVICES,1033.35,4.627145244
05-06-2020,HEROMOTOCO,AUTOMOBILE,2340.65,0.61685939
05-06-2020,HINDALCO,METALS,149.25,7.258354294
05-06-2020,HINDUNILVR,CONSUMER GOODS,2087.6,-0.993573783
05-06-2020,ICICIBANK,FINANCIAL SERVICES,357.2,5.291083272
05-06-2020,INDUSINDBK,FINANCIAL SERVICES,422.35,2.987076323
05-06-2020,INFRATEL,TELECOM,236.25,5.351170569
05-06-2020,INFY,IT,703.55,0.571796155
05-06-2020,IOC,OIL & GAS,89.4,3.772489843
05-06-2020,ITC,CONSUMER GOODS,200,-0.274245824
05-06-2020,JSWSTEEL,METALS,197.05,1.59835009
05-06-2020,KOTAKBANK,FINANCIAL SERVICES,1337.8,7.161166293
05-06-2020,LT,CONSTRUCTION,955.25,2.919786672
05-06-2020,M&M,AUTOMOBILE,484.2,5.009759271
05-06-2020,MARUTI,AUTOMOBILE,5746.2,-0.818144159
05-06-2020,NESTLEIND,CONSUMER GOODS,17096.85,-0.5039733
05-06-2020,NTPC,POWER,97.95,0.051072523
05-06-2020,ONGC,OIL & GAS,86.95,3.573555688
05-06-2020,POWERGRID,POWER,171.45,7.932011331
05-06-2020,RELIANCE,OIL & GAS,1581.7,4.03525504
05-06-2020,SBIN,FINANCIAL SERVICES,187.8,10.43810644
05-06-2020,SHREECEM,CEMENT & CEMENT PRODUCTS,22089.6,4.842342075
05-06-2020,SUNPHARMA,PHARMA,494.25,6.198968629
05-06-2020,TATAMOTORS,AUTOMOBILE,110.75,23.67392518
05-06-2020,TATASTEEL,METALS,338.95,7.534898477
05-06-2020,TCS,IT,2048.25,0.146681335
05-06-2020,TECHM,IT,579.85,6.678318462
05-06-2020,TITAN,CONSUMER GOODS,990.95,3.342371467
05-06-2020,ULTRACEMCO,CEMENT & CEMENT PRODUCTS,3869.55,1.411274471
05-06-2020,UPL,FERTILISERS & PESTICIDES,439.4,4.793703792
05-06-2020,VEDL,METALS,105.3,12.43993593
05-06-2020,WIPRO,IT,218.75,1.720530109
05-06-2020,ZEEL,MEDIA & ENTERTAINMENT,206.2,10.91984938
08-06-2020,ADANIPORTS,SERVICES,343.3,4.235615606
08-06-2020,ASIANPAINT,CONSUMER GOODS,1634.25,-3.484423446
08-06-2020,AXISBANK,FINANCIAL SERVICES,430.25,8.388965865
08-06-2020,BAJAJ-AUTO,AUTOMOBILE,2801.05,1.549867672
08-06-2020,BAJAJFINSV,FINANCIAL SERVICES,5440.95,14.22887974
08-06-2020,BAJFINANCE,FINANCIAL SERVICES,2507.25,16.03072865
08-06-2020,BHARTIARTL,TELECOM,585.15,4.66863429
08-06-2020,BPCL,OIL & GAS,394.1,13.80306093
08-06-2020,BRITANNIA,CONSUMER GOODS,3426.8,-0.23436249
08-06-2020,CIPLA,PHARMA,635.1,-1.151750973
08-06-2020,COALINDIA,METALS,146.7,-1.245371929
08-06-2020,DRREDDY,PHARMA,3967.6,0.355376813
08-06-2020,EICHERMOT,AUTOMOBILE,16894.85,-0.535154468
08-06-2020,GAIL,OIL & GAS,104.75,13.92060903
08-06-2020,GRASIM,CEMENT & CEMENT PRODUCTS,617.15,5.766923736
08-06-2020,HCLTECH,IT,578.25,3.305046896
08-06-2020,HDFC,FINANCIAL SERVICES,1760.8,1.329343385
08-06-2020,HDFCBANK,FINANCIAL SERVICES,1015.9,2.860325014
08-06-2020,HEROMOTOCO,AUTOMOBILE,2384.3,2.493229592
08-06-2020,HINDALCO,METALS,146.35,5.174272368
08-06-2020,HINDUNILVR,CONSUMER GOODS,2111.7,0.149391762
08-06-2020,ICICIBANK,FINANCIAL SERVICES,359.8,6.057479735
08-06-2020,INDUSINDBK,FINANCIAL SERVICES,451.6,10.11948305
08-06-2020,INFRATEL,TELECOM,230.2,2.65328874
08-06-2020,INFY,IT,720.85,3.044814524
08-06-2020,IOC,OIL & GAS,93.1,8.067324434
08-06-2020,ITC,CONSUMER GOODS,197.65,-1.446023436
08-06-2020,JSWSTEEL,METALS,194.95,0.515596803
08-06-2020,KOTAKBANK,FINANCIAL SERVICES,1336.75,7.077058635
08-06-2020,LT,CONSTRUCTION,961.35,3.577008027
08-06-2020,M&M,AUTOMOBILE,470.85,2.114508783
