Date,Sector,Ticker,Close,Return
07-05-2020,FINANCIAL SERVICES,ICICIBANK,336.75,-0.384558497
07-05-2020,FINANCIAL SERVICES,INDUSINDBK,454.35,7.398652642
07-05-2020,TELECOM,INFRATEL,172.8,2.551928783
07-05-2020,IT,INFY,664.95,-1.298797684
07-05-2020,OIL & GAS,IOC,75.75,-5.015673981
07-05-2020,CONSUMER GOODS,ITC,161,-7.497845447
07-05-2020,METALS,JSWSTEEL,172.2,5.288902476
07-05-2020,FINANCIAL SERVICES,KOTAKBANK,1199.8,-6.104241665
07-05-2020,CONSTRUCTION,LT,822.85,-3.268089108
07-05-2020,AUTOMOBILE,M&M,400.65,12.21117491
07-05-2020,AUTOMOBILE,MARUTI,4749.3,-2.803757444
07-05-2020,CONSUMER GOODS,NESTLEIND,17142.45,-1.798762062
07-05-2020,POWER,NTPC,90.45,-1.093493712
07-05-2020,OIL & GAS,ONGC,75.6,-1.241018942
07-05-2020,POWER,POWERGRID,161.75,1.697579378
07-05-2020,OIL & GAS,RELIANCE,1506.95,4.999303233
07-05-2020,FINANCIAL SERVICES,SBIN,170.75,-4.528934862
07-05-2020,CEMENT & CEMENT PRODUCTS,SHREECEM,18432.4,-1.03409396
07-05-2020,PHARMA,SUNPHARMA,452.2,-2.846707487
07-05-2020,AUTOMOBILE,TATAMOTORS,82.5,-1.668653159
07-05-2020,METALS,TATASTEEL,275.85,0.822368421
07-05-2020,IT,TCS,1891.65,-2.009894066
07-05-2020,IT,TECHM,516.35,2.766444422
07-05-2020,CONSUMER GOODS,TITAN,849.1,-4.793406963
07-05-2020,CEMENT & CEMENT PRODUCTS,ULTRACEMCO,3252.85,-2.830385948
07-05-2020,FERTILISERS & PESTICIDES,UPL,368.4,-4.411001557
07-05-2020,METALS,VEDL,78.55,-1.751094434
07-05-2020,IT,WIPRO,184.1,-3.130755064
07-05-2020,MEDIA & ENTERTAINMENT,ZEEL,147.35,0.648907104
08-05-2020,SERVICES,ADANIPORTS,285.05,7.020837244
08-05-2020,CONSUMER GOODS,ASIANPAINT,1578.4,-5.868320611
08-05-2020,FINANCIAL SERVICES,AXISBANK,382.05,-5.151439921
08-05-2020,AUTOMOBILE,BAJAJ-AUTO,2419.05,-0.945887845
08-05-2020,FINANCIAL SERVICES,BAJAJFINSV,4601,-3.388033219
08-05-2020,FINANCIAL SERVICES,BAJFINANCE,2024.15,-2.668718294
08-05-2020,TELECOM,BHARTIARTL,530.05,-0.460093897
08-05-2020,OIL & GAS,BPCL,324.75,-6.65421098
08-05-2020,CONSUMER GOODS,BRITANNIA,2994.65,-3.178195574
08-05-2020,PHARMA,CIPLA,591.9,-3.260603089
08-05-2020,METALS,COALINDIA,129,-9.34645116
08-05-2020,PHARMA,DRREDDY,3984,1.142421935
08-05-2020,AUTOMOBILE,EICHERMOT,13858.85,0.800433492
08-05-2020,OIL & GAS,GAIL,91.35,-2.299465241
08-05-2020,CEMENT & CEMENT PRODUCTS,GRASIM,486.3,1.513411961
08-05-2020,IT,HCLTECH,518.4,0.807000486
08-05-2020,FINANCIAL SERVICES,HDFC,1689.7,-2.009452837
08-05-2020,FINANCIAL SERVICES,HDFCBANK,929.05,0.655471289
08-05-2020,AUTOMOBILE,HEROMOTOCO,1962.6,-1.904333483
08-05-2020,METALS,HINDALCO,117.1,1.035375324
08-05-2020,CONSUMER GOODS,HINDUNILVR,2089.45,0.326507094
08-05-2020,FINANCIAL SERVICES,ICICIBANK,337.7,-0.10353498
08-05-2020,FINANCIAL SERVICES,INDUSINDBK,440.35,4.089351141
08-05-2020,TELECOM,INFRATEL,174.25,3.412462908
08-05-2020,IT,INFY,674.2,0.074217011
